location_name,date,lat,lon,day_of_year,month,precip_roll_sum_7d,precip_roll_sum_30d,days_since_last_rain,temp_max_24h,soil_moisture_root,social_report_count,social_stress_index,leak_mention_flag,sentiment_polarity,most_common_pain_keyword,population_density,elevation_meters,is_weekend,month_sin,month_cos,risk_index
Azcapotzalco,2025-12-01,19.4869,-99.1838,335,12,8.3,39.7,0,12.54,54.0,50,0.9,1,0.01,fuga de agua,10966.367600983294,2367.8,0,-0.0,1.0,4
Azcapotzalco,2025-12-02,19.4869,-99.1838,336,12,8.3,39.7,0,12.54,54.0,50,0.9,1,0.01,fuga de agua,13724.75537296919,2479.0,0,-0.0,1.0,4
Azcapotzalco,2025-12-03,19.4869,-99.1838,337,12,8.3,39.7,0,12.54,54.0,50,0.9,1,0.01,fuga de agua,9140.817215269093,2159.4,0,-0.0,1.0,4
Azcapotzalco,2025-12-04,19.4869,-99.1838,338,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,8785.76345858574,2255.7,0,-0.0,1.0,4
Azcapotzalco,2025-12-05,19.4869,-99.1838,339,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,13094.560604519458,2432.7,0,-0.0,1.0,4
Azcapotzalco,2025-12-06,19.4869,-99.1838,340,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,10338.536387401286,2363.5,1,-0.0,1.0,4
Azcapotzalco,2025-12-07,19.4869,-99.1838,341,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,8853.574017178962,2149.0,1,-0.0,1.0,4
Azcapotzalco,2025-12-08,19.4869,-99.1838,342,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,8764.67855589115,2446.6,0,-0.0,1.0,4
Azcapotzalco,2025-12-09,19.4869,-99.1838,343,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,13939.692691844772,2227.6,0,-0.0,1.0,4
Azcapotzalco,2025-12-10,19.4869,-99.1838,344,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,8967.262118002756,2255.0,0,-0.0,1.0,4
Azcapotzalco,2025-12-11,19.4869,-99.1838,345,12,8.3,39.7,0,12.54,53.0,50,0.9,1,0.01,fuga de agua,10317.090204057145,2467.4,0,-0.0,1.0,4
Azcapotzalco,2025-12-12,19.4869,-99.1838,346,12,8.3,39.7,0,12.54,52.0,50,0.9,1,0.01,fuga de agua,12278.631946109777,2172.0,0,-0.0,1.0,4
Azcapotzalco,2025-12-13,19.4869,-99.1838,347,12,8.3,39.7,0,12.54,52.0,49,0.89,1,0.01,fuga de agua,14358.468655978775,2146.9,1,-0.0,1.0,4
Azcapotzalco,2025-12-14,19.4869,-99.1838,348,12,8.3,39.7,0,12.54,52.0,49,0.89,1,0.01,fuga de agua,14740.082268761696,2351.7,1,-0.0,1.0,4
Azcapotzalco,2025-12-15,19.4869,-99.1838,349,12,8.3,39.7,0,12.54,52.0,49,0.89,1,0.01,fuga de agua,8066.655201743914,2530.1,0,-0.0,1.0,4
Azcapotzalco,2025-12-16,19.4869,-99.1838,350,12,8.3,39.7,0,12.54,51.0,49,0.89,1,0.01,fuga de agua,13297.54394032219,2476.9,0,-0.0,1.0,4
Azcapotzalco,2025-12-17,19.4869,-99.1838,351,12,8.3,39.7,0,12.54,51.0,48,0.89,1,0.01,fuga de agua,8398.473745766314,2227.7,0,-0.0,1.0,4
Azcapotzalco,2025-12-18,19.4869,-99.1838,352,12,8.3,39.7,0,12.54,51.0,48,0.89,1,0.01,fuga de agua,14864.91113396484,2248.3,0,-0.0,1.0,4
Azcapotzalco,2025-12-19,19.4869,-99.1838,353,12,8.3,39.7,0,12.54,51.0,47,0.88,1,0.01,fuga de agua,8332.97320678048,2455.3,0,-0.0,1.0,4
Azcapotzalco,2025-12-20,19.4869,-99.1838,354,12,8.3,39.7,0,12.54,51.0,47,0.88,1,0.01,fuga de agua,9345.252648828733,2162.8,1,-0.0,1.0,4
Azcapotzalco,2025-12-21,19.4869,-99.1838,355,12,8.3,39.7,0,12.54,50.0,47,0.88,1,0.01,fuga de agua,10213.30193693898,2055.9,1,-0.0,1.0,4
